name,performance_clockspeed,performance_turbospeed,performance_cores,performance_threads,efficient_clockspeed,efficient_turbospeed,efficient_cores,efficient_threads,tdp,multithread_rating,single_thread_rating,l1_instruction_cache,l1_data_cache,l2_cache,l3_cache,eff_l1_instruction_cache,eff_l1_data_cache,eff_l2_cache,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,single_thread
intel celeron 7305,1.10,,1.0,1.0,0.90,,4.0,4.0,15.00,2470,814,1 x 32 kb,1 x 48 kb,1 x 1280 kb,8 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,6261.0,5214.0,13.0,3232.0,1658.0,25977.0,234.0,1570.0,814
intel core i7 8500y,1.50,4.20,2.0,4.0,,,,,5.00,2474,1448,2 x 32 kb,2 x 32 kb,2 x 256 kb,4 mb,,,,8519.0,5175.0,11.0,4207.0,,30596.0,237.0,1847.0,1448
arm cortex-a76 4 core (duplicate 3),2.90,,4.0,4.0,,,,,,2479,1331,,,,,,,,15916.0,13386.0,5.0,4661.0,,30967.0,124.0,2747.0,1331
intel celeron n4120,1.10,2.60,4.0,4.0,,,,,6.00,2485,1086,4 x 32 kb,4 x 24 kb,1 x 4096 kb,,,,,10175.0,5384.0,6.0,4204.0,1443.0,34378.0,176.0,1005.0,1086
intel core i7 4500u,1.80,3.00,2.0,4.0,,,,,15.00,2487,1492,2 x 32 kb,2 x 32 kb,2 x 256 kb,4 mb,,,,8532.0,4324.0,14.0,4878.0,,35188.0,239.0,2152.0,1492
mediatek g80 (mt6769v/ct),2.00,,8.0,8.0,,,,,,2493,1050,,,,,,,,17864.0,4781.0,6.0,8962.0,1755.0,49002.0,175.0,1329.0,1050
intel core i5 4300u,1.90,2.90,2.0,4.0,,,,,15.00,2495,1483,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,8575.0,4332.0,12.0,4927.0,,35436.0,224.0,2239.0,1483
samsung exynos7885,2.10,,8.0,8.0,,,,,,2496,984,,,,,,,,18630.0,4180.0,6.0,8318.0,2548.0,31722.0,155.0,681.0,984
intel core i5 5200u,2.20,2.70,2.0,4.0,,,,,15.00,2500,1497,2 x 32 kb,2 x 32 kb,2 x 256 kb,3 mb,,,,8119.0,5342.0,11.0,4583.0,,35471.0,223.0,2256.0,1497
intel core duo t2350,1.90,,2.0,2.0,,,,,31.00,385,576,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,958.0,1245.0,1.0,1781.0,,11954.0,66.0,101.0,576
mt8735m,1.00,,4.0,4.0,,,,,,388,244,,,,,,,,1586.0,742.0,,1727.0,,6141.0,46.0,899.0,244
qct apq8064 mtp,1.70,,4.0,4.0,,,,,,389,330,,,,,,,,2475.0,1260.0,,1243.0,,6109.0,37.0,499.0,330
amd e1-1500 apu,1.50,,2.0,2.0,,,,,18.00,391,454,2 x 32 kb,2 x 32 kb,2 x 512 kb,,,,,1561.0,945.0,2.0,1297.0,,8791.0,42.0,140.0,454
rockchip rk3399 generic board edp (android),1.80,,6.0,6.0,,,,,,391,642,,,,,,,,2073.0,1568.0,,1931.0,,7743.0,52.0,881.0,642
universal3470,1.50,,4.0,4.0,,,,,,391,254,,,,,,,,1711.0,574.0,,1745.0,,7963.0,39.0,1184.0,254
intel celeron 807,1.50,,1.0,2.0,,,,,17.00,392,608,4 x 32 kb,4 x 32 kb,4 x 256 kb,2 mb,,,,1875.0,715.0,3.0,1184.0,,7839.0,63.0,209.0,608
intel core2 duo u7500,1.10,,2.0,2.0,,,,,10.00,392,393,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,1797.0,896.0,2.0,973.0,,7498.0,44.0,169.0,393
mt6580,1.30,,4.0,4.0,,,,,,394,273,,,,,,,,1482.0,601.0,,2042.0,,9004.0,52.0,1101.0,273
mediatek mt6739wa,1.30,,4.0,4.0,,,,,,397,263,,,,,,,,2098.0,840.0,,1977.0,,6510.0,44.0,915.0,263
via nano x2 u4025,1.20,,2.0,2.0,,,,,,400,298,1 x 64 kb,1 x 64 kb,1 x 1024 kb,,,,,1174.0,721.0,2.0,1056.0,,8137.0,52.0,254.0,298
amd turion 64 mobile ml-42,2.40,,1.0,1.0,,,,,35.00,400,455,1 x 64 kb,1 x 64 kb,1 x 512 kb,,,,,,,,,,,,,455
intel core i7 2630um,1.60,2.70,2.0,4.0,,,,,,400,221,4 x 32 kb,4 x 32 kb,4 x 256 kb,4 mb,,,,,,,,,,,,221
mediatek mt8167b,1.30,,4.0,4.0,,,,,,403,271,,,,,,,,2795.0,1069.0,1.0,1860.0,,8836.0,44.0,428.0,271
arm armv7 rev 4 (v7l) 4 core (duplicate 1),1.20,,4.0,4.0,,,,,,403,272,,,,,,,,2013.0,1028.0,,1078.0,,10604.0,42.0,150.0,272
intel core duo l2500,1.80,,2.0,2.0,,,,,15.00,404,578,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,,,,,,,,,578
amd e1-2100 apu,1.00,,2.0,2.0,,,,,9.00,406,322,2 x 32 kb,2 x 32 kb,2 x 1024 kb,,,,,1994.0,607.0,2.0,901.0,,6679.0,43.0,222.0,322
amd a4-1250 apu,1.00,,2.0,2.0,,,,,8.00,406,329,2 x 32 kb,2 x 32 kb,2 x 1024 kb,,,,,2196.0,570.0,2.0,845.0,,6195.0,39.0,227.0,329
intel atom e3805,1.30,,2.0,2.0,,,,,3.00,406,376,,,,,,,,2018.0,476.0,2.0,1119.0,,8425.0,53.0,132.0,376
"qualcomm technologies, inc apq8016",1.20,,4.0,4.0,,,,,,406,248,,,,,,,,1995.0,879.0,,1917.0,,8999.0,45.0,901.0,248
arm cortex-a53 4 core (duplicate 5),1.20,,4.0,4.0,,,,,,407,178,,,,,,,,7815.0,1165.0,3.0,2678.0,,2906.0,64.0,153.0,178
"qualcomm technologies, inc msm8916",1.20,,4.0,4.0,,,,,,407,254,,,,,,,,2839.0,921.0,,1856.0,,8825.0,43.0,773.0,254
intel core duo t2500,2.00,,2.0,2.0,,,,,31.00,408,613,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,1088.0,1288.0,1.0,1793.0,,12434.0,66.0,103.0,613
"qualcomm technologies, inc qcm2150",1.30,,4.0,4.0,,,,,,409,295,,,,,,,,2233.0,932.0,,2496.0,,10038.0,54.0,762.0,295
intel core duo t2450,2.00,,2.0,2.0,,,,,31.00,411,608,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,1149.0,1351.0,1.0,1854.0,,12846.0,60.0,109.0,608
intel celeron 900,2.20,,1.0,1.0,,,,,34.80,412,834,1 x 32 kb,1 x 32 kb,1 x 1024 kb,,,,,1717.0,1003.0,2.0,1233.0,,8917.0,51.0,151.0,834
samsung grandprimeplus lte ltn open rev04 board ba,1.40,,4.0,4.0,,,,,,415,179,,,,,,,,2656.0,1057.0,,1957.0,,8692.0,50.0,1117.0,179
amd athlon ii neo k325 dual-core,1.30,,2.0,2.0,,,,,12.00,417,486,2 x 64 kb,2 x 64 kb,2 x 1024 kb,,,,,1295.0,1090.0,2.0,1227.0,,10055.0,54.0,136.0,486
arm cortex-a53 4 core (duplicate 6),1.40,,4.0,4.0,,,,,,417,193,,,,,,,,8766.0,1255.0,3.0,2318.0,,2854.0,56.0,164.0,193
mediatek mt8735b,1.20,,4.0,4.0,,,,,,418,225,,,,,,,,3014.0,810.0,1.0,1865.0,,6445.0,47.0,569.0,225
mt8765wb,1.30,,4.0,4.0,,,,,,419,249,,,,,,,,2807.0,917.0,,2168.0,,6487.0,40.0,791.0,249
amd e-350,1.60,,2.0,2.0,,,,,18.00,422,485,2 x 32 kb,2 x 32 kb,2 x 512 kb,,,,,1632.0,1008.0,3.0,1383.0,,9647.0,47.0,151.0,485
amd v140,2.30,,1.0,1.0,,,,,25.00,422,860,1 x 64 kb,1 x 64 kb,1 x 512 kb,,,,,1383.0,910.0,3.0,1264.0,,10216.0,46.0,152.0,860
amd e-350 apu,1.60,,2.0,2.0,,,,,18.00,423,490,2 x 32 kb,2 x 32 kb,2 x 512 kb,,,,,1589.0,1084.0,2.0,1472.0,,10227.0,47.0,149.0,490
qualcomm msm8916,1.20,,4.0,4.0,,,,,,424,314,,,,,,,,4825.0,996.0,2.0,1439.0,,9604.0,48.0,120.0,314
intel core2 duo t5270,1.40,,2.0,2.0,,,,,35.00,427,535,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,1352.0,1070.0,2.0,1473.0,,10216.0,66.0,143.0,535
amd g-t48e,1.40,,2.0,2.0,,,,,18.00,427,457,2 x 32 kb,2 x 32 kb,2 x 512 kb,,,,,1716.0,975.0,3.0,1209.0,,9507.0,45.0,147.0,457
mediatek mt6737m,1.10,,4.0,4.0,,,,,,427,222,,,,,,,,3476.0,866.0,1.0,1994.0,,5979.0,44.0,599.0,222
rockchip rk3326,1.50,,4.0,4.0,,,,,,428,277,,,,,,,,2403.0,954.0,,1884.0,,7467.0,36.0,661.0,277
mt8127,1.30,,4.0,4.0,,,,,,429,253,,,,,,,,1705.0,697.0,,1904.0,,10338.0,56.0,1094.0,253
intel core2 duo u7700,1.30,,2.0,2.0,,,,,10.00,429,442,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,1691.0,1095.0,2.0,1368.0,,10010.0,58.0,182.0,442
amd turion neo x2 dual core l625,1.60,,2.0,2.0,,,,,18.00,432,486,2 x 64 kb,2 x 64 kb,2 x 512 kb,,,,,1410.0,1028.0,2.0,1370.0,,10006.0,41.0,139.0,486
amd e-450 apu,1.70,,2.0,2.0,,,,,18.00,437,498,2 x 32 kb,2 x 32 kb,2 x 512 kb,,,,,1680.0,1063.0,3.0,1431.0,,10136.0,50.0,154.0,498
mediatek mt6739ww,1.50,,4.0,4.0,,,,,,439,294,,,,,,,,2601.0,939.0,,2370.0,,7064.0,44.0,934.0,294
amd g-t56e,1.70,,2.0,2.0,,,,,18.00,442,522,2 x 32 kb,2 x 32 kb,2 x 512 kb,,,,,,,,,,,,,522
intel atom n2800,1.90,,2.0,4.0,,,,,6.50,444,319,1 x 32 kb,1 x 24 kb,1 x 512 kb,,,,,2124.0,702.0,3.0,1699.0,,11720.0,61.0,191.0,319
arm cortex-a53 4 core (duplicate 7),1.60,,4.0,4.0,,,,,,453,210,,,,,,,,9512.0,1371.0,3.0,2700.0,,3270.0,55.0,175.0,210
qct apq8064 deb,1.50,,4.0,4.0,,,,,,453,278,,,,,,,,2527.0,1103.0,,2660.0,,10122.0,62.0,1147.0,278
"qualcomm technologies, inc qm215",1.30,,4.0,4.0,,,,,,458,309,,,,,,,,3048.0,920.0,,2375.0,,9790.0,54.0,753.0,309
intel core duo t2600,2.20,,2.0,2.0,,,,,31.00,460,667,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,1192.0,1447.0,2.0,2026.0,,13863.0,72.0,115.0,667
intel atom e3827,1.70,,2.0,2.0,,,,,8.00,463,468,2 x 32 kb,2 x 24 kb,2 x 512 kb,,,,,2668.0,621.0,3.0,1236.0,,11328.0,54.0,172.0,468
rockchip rk3326 evb board,1.50,,4.0,4.0,,,,,,463,335,,,,,,,,2690.0,993.0,1.0,2181.0,,9007.0,42.0,430.0,335
mediatek mt6737,1.20,,4.0,4.0,,,,,,463,269,,,,,,,,3981.0,931.0,1.0,2105.0,,7588.0,47.0,575.0,269
intel core2 duo u9300,1.20,,2.0,2.0,,,,,10.00,464,518,2 x 32 kb,2 x 32 kb,1 x 3072 kb,,,,,1840.0,1129.0,3.0,1388.0,,9505.0,68.0,157.0,518
intel core2 duo l7100,1.20,,2.0,2.0,,,,,-1.00,467,484,2 x 32 kb,2 x 32 kb,1 x 4096 kb,,,,,1942.0,849.0,4.0,1410.0,,10147.0,72.0,179.0,484
samsung exynos 7570,1.40,,4.0,4.0,,,,,,470,307,,,,,,,,2188.0,955.0,,2187.0,,10818.0,51.0,1083.0,307
amd turionx2 dual core mobile rm-72,2.10,,2.0,2.0,,,,,35.00,471,392,2 x 64 kb,2 x 64 kb,2 x 512 kb,,,,,,,,,,,,,392
arm cortex-a53 4 core (duplicate 8),1.50,,4.0,4.0,,,,,,472,213,,,,,,,,9610.0,1406.0,3.0,2539.0,,3550.0,54.0,185.0,213
